,adsh,cik,name,sic,fye,form,period,fy,fp,fs_year,fs_quarter
826,0000897429-18-000089,897429,CHICOS FAS INC,5621.0,131.0,10-Q,20180731,2018,Q2,,
827,0000897723-18-000022,897723,SANMINA CORP,3672.0,930.0,10-Q,20180630,2018,Q3,,
828,0000898173-18-000168,898173,O REILLY AUTOMOTIVE INC,5531.0,1231.0,10-Q,20180630,2018,Q2,,
829,0000898174-18-000031,898174,REINSURANCE GROUP OF AMERICA INC,6311.0,1231.0,10-Q,20180630,2018,Q2,,
831,0000899051-18-000044,899051,ALLSTATE CORP,6331.0,1231.0,10-Q,20180630,2018,Q2,,
832,0000899629-18-000064,899629,ACADIA REALTY TRUST,6798.0,1231.0,10-Q,20180630,2018,Q2,,
833,0000899689-18-000049,899689,VORNADO REALTY TRUST,6798.0,1231.0,10-Q,20180630,2018,Q2,,
834,0000899715-18-000127,899715,TANGER FACTORY OUTLET CENTERS INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
835,0000899749-18-000057,899749,HEALTHCARE REALTY TRUST INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
836,0000899751-18-000054,899751,TITAN INTERNATIONAL INC,3312.0,1231.0,10-Q,20180630,2018,Q2,,
837,0000899866-18-000121,899866,"ALEXION PHARMACEUTICALS, INC.",2834.0,1231.0,10-Q,20180630,2018,Q2,,
838,0000902274-18-000092,902274,LIBBEY INC,3220.0,1231.0,10-Q,20180630,2018,Q2,,
839,0000904979-18-000044,904979,SHILOH INDUSTRIES INC,3460.0,1031.0,10-Q,20180731,2018,Q3,,
840,0000906163-18-000106,906163,NVR INC,1531.0,1231.0,10-Q,20180630,2018,Q2,,
841,0000906345-18-000034,906345,CAMDEN PROPERTY TRUST,6798.0,1231.0,10-Q,20180630,2018,Q2,,
842,0000906553-18-000044,906553,BOYD GAMING CORP,7011.0,1231.0,10-Q,20180630,2018,Q2,,
843,0000906780-18-000011,906780,EMPIRE RESORTS INC,5810.0,1231.0,10-Q,20180630,2018,Q2,,
844,0000907254-18-000075,907254,SAUL CENTERS INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
845,0000907471-18-000071,907471,META FINANCIAL GROUP INC,6035.0,930.0,10-Q,20180630,2018,Q3,,
846,0000908255-18-000050,908255,BORGWARNER INC,3714.0,1231.0,10-Q,20180630,2018,Q2,,
848,0000908315-18-000027,908315,WINMARK CORP,5900.0,1231.0,10-Q,20180630,2018,Q2,,
849,0000908937-18-000037,908937,SIRIUS XM HOLDINGS INC.,4832.0,1231.0,10-Q,20180630,2018,Q2,,
850,0000909108-18-000073,909108,DIAMOND HILL INVESTMENT GROUP INC,6282.0,1231.0,10-Q,20180630,2018,Q2,,
851,0000909724-18-000018,909724,TANDY LEATHER FACTORY INC,3100.0,1231.0,10-Q,20180630,2018,Q2,,
853,0000910521-18-000029,910521,DECKERS OUTDOOR CORP,3021.0,331.0,10-Q,20180630,2018,Q1,,
854,0000910606-18-000030,910606,REGENCY CENTERS CORP,6798.0,1231.0,10-Q,20180630,2018,Q2,,
855,0000910612-18-000066,910612,CBL & ASSOCIATES PROPERTIES INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
856,0000910638-18-000021,910638,3D SYSTEMS CORP,7372.0,1231.0,10-Q,20180630,2018,Q2,,
857,0000911147-18-000042,911147,CENTURY CASINOS INC /CO/,7011.0,1231.0,10-Q,20180630,2018,Q2,,
858,0000911177-18-000041,911177,CASELLA WASTE SYSTEMS INC,4953.0,1231.0,10-Q,20180630,2018,Q2,,
859,0000912061-18-000027,912061,NATURAL HEALTH TRENDS CORP,5190.0,1231.0,10-Q,20180630,2018,Q2,,
861,0000912242-18-000012,912242,MACERICH CO,6798.0,1231.0,10-Q,20180630,2018,Q2,,
862,0000912463-18-000050,912463,GUESS INC,2340.0,131.0,10-Q,20180731,2018,Q2,,
863,0000912562-18-000032,912562,"GIBRALTAR INDUSTRIES, INC.",3310.0,1231.0,10-Q,20180630,2018,Q2,,
864,0000912593-18-000124,912593,SUN COMMUNITIES INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
865,0000912595-18-000041,912595,MID AMERICA APARTMENT COMMUNITIES INC.,6798.0,1231.0,10-Q,20180630,2018,Q2,,
867,0000912728-18-000111,912728,FORWARD AIR CORP,4731.0,1231.0,10-Q,20180630,2018,Q2,,
868,0000912750-18-000021,912750,NEWFIELD EXPLORATION CO /DE/,1311.0,1231.0,10-Q,20180630,2018,Q2,,
869,0000912752-18-000029,912752,SINCLAIR BROADCAST GROUP INC,4833.0,1231.0,10-Q,20180630,2018,Q2,,
870,0000913142-18-000020,913142,BELDEN INC.,3357.0,1231.0,10-Q,20180630,2018,Q2,,
871,0000913144-18-000007,913144,RENAISSANCERE HOLDINGS LTD,6331.0,1231.0,10-Q,20180630,2018,Q2,,
873,0000913341-18-000045,913341,C & F FINANCIAL CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
874,0000913760-18-000126,913760,INTL FCSTONE INC.,6200.0,930.0,10-Q,20180630,2018,Q3,,
875,0000913778-18-000004,913778,BOSTON CAPITAL TAX CREDIT FUND IV LP,6513.0,331.0,10-Q,20180630,2018,Q1,,
876,0000914025-18-000048,914025,PLANTRONICS INC /CA/,3661.0,331.0,10-Q,20180630,2018,Q1,,
877,0000914122-18-000062,914122,"PERMA-PIPE INTERNATIONAL HOLDINGS, INC.",3564.0,131.0,10-Q,20180731,2018,Q2,,
878,0000914139-18-000038,914139,PARKERVISION INC,3663.0,1231.0,10-Q,20180630,2018,Q2,,
879,0000914208-18-000357,914208,INVESCO LTD.,6282.0,1231.0,10-Q,20180630,2018,Q2,,
880,0000914748-18-000022,914748,EVEREST REINSURANCE HOLDINGS INC,6331.0,1231.0,10-Q,20180630,2018,Q2,,
882,0000915358-18-000017,915358,SIGMATRON INTERNATIONAL INC,3672.0,430.0,10-Q,20180731,2019,Q1,,
883,0000915389-18-000048,915389,EASTMAN CHEMICAL CO,2821.0,1231.0,10-Q,20180630,2018,Q2,,
884,0000915779-18-000042,915779,DAKTRONICS INC /SD/,3990.0,430.0,10-Q,20180731,2019,Q1,,
885,0000915840-18-000033,915840,BEAZER HOMES USA INC,1531.0,930.0,10-Q,20180630,2018,Q3,,
886,0000915912-18-000016,915912,AVALONBAY COMMUNITIES INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
887,0000915913-18-000039,915913,ALBEMARLE CORP,2821.0,1231.0,10-Q,20180630,2018,Q2,,
888,0000916365-18-000093,916365,TRACTOR SUPPLY CO /DE/,5200.0,1231.0,10-Q,20180630,2018,Q2,,
889,0000916457-18-000157,916457,CALPINE CORP,4911.0,1231.0,10-Q,20180630,2018,Q2,,
890,0000916540-18-000024,916540,DARLING INGREDIENTS INC.,2070.0,1231.0,10-Q,20180630,2018,Q2,,
891,0000917225-18-000039,917225,SOLITARIO ZINC CORP.,1040.0,1231.0,10-Q,20180630,2018,Q2,,
892,0000917273-18-000019,917273,RAMBUS INC,3674.0,1231.0,10-Q,20180630,2018,Q2,,
893,0000917491-18-000041,917491,FARO TECHNOLOGIES INC,3829.0,1231.0,10-Q,20180630,2018,Q2,,
894,0000917520-18-000027,917520,INTEGRA LIFESCIENCES HOLDINGS CORP,3841.0,1231.0,10-Q,20180630,2018,Q2,,
895,0000918160-18-000125,918160,AK STEEL HOLDING CORP,3312.0,1231.0,10-Q,20180630,2018,Q2,,
902,0000919956-18-000038,919956,"DIVERSICARE HEALTHCARE SERVICES, INC.",8051.0,1231.0,10-Q,20180630,2018,Q2,,
903,0000920112-18-000231,920112,HEARTLAND FINANCIAL USA INC,6022.0,1231.0,10-Q,20180630,2018,Q2,,
904,0000920148-18-000097,920148,LABORATORY CORP OF AMERICA HOLDINGS,8071.0,1231.0,10-Q,20180630,2018,Q2,,
905,0000920371-18-000123,920371,SIMPSON MANUFACTURING CO INC /CA/,3420.0,1231.0,10-Q,20180630,2018,Q2,,
906,0000920427-18-000097,920427,UNITY BANCORP INC /NJ/,6022.0,1231.0,10-Q,20180630,2018,Q2,,
907,0000920448-18-000045,920448,BROADVISION INC,7372.0,1231.0,10-Q,20180630,2018,Q2,,
908,0000920465-18-000026,920465,LA JOLLA PHARMACEUTICAL CO,2836.0,1231.0,10-Q,20180630,2018,Q2,,
909,0000920522-18-000039,920522,ESSEX PROPERTY TRUST INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
910,0000921082-18-000038,921082,HIGHWOODS PROPERTIES INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
911,0000921825-18-000012,921825,FIRST INDUSTRIAL REALTY TRUST INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
912,0000921895-18-002184,1726173,BIGLARI HOLDINGS INC.,5812.0,1231.0,10-Q,20180630,2018,Q2,,
913,0000922224-18-000058,922224,PPL CORP,4911.0,1231.0,10-Q,20180630,2018,Q2,,
915,0000922621-18-000033,922621,ERIE INDEMNITY CO,6411.0,1231.0,10-Q,20180630,2018,Q2,,
916,0000922864-18-000037,922864,APARTMENT INVESTMENT & MANAGEMENT CO,6798.0,1231.0,10-Q,20180630,2018,Q2,,
917,0000924168-18-000061,924168,"ENERGY FOCUS, INC/DE",3640.0,1231.0,10-Q,20180630,2018,Q2,,
918,0000924719-18-000021,924719,SMITH MIDLAND CORP,3272.0,1231.0,10-Q,20180630,2018,Q2,,
919,0000925645-18-000028,925645,CENTRAL EUROPEAN MEDIA ENTERPRISES LTD,4833.0,1231.0,10-Q,20180630,2018,Q2,,
920,0000926326-18-000025,926326,"OMNICELL, INC",3571.0,1231.0,10-Q,20180630,2018,Q2,,
921,0000926617-18-000061,926617,"VERMILLION, INC.",2835.0,1231.0,10-Q,20180630,2018,Q2,,
922,0000927003-18-000040,927003,ADVANCED ENERGY INDUSTRIES INC,3679.0,1231.0,10-Q,20180630,2018,Q2,,
923,0000927066-18-000165,927066,DAVITA INC.,8090.0,1231.0,10-Q,20180630,2018,Q2,,
924,0000927089-18-000302,854560,"GREAT SOUTHERN BANCORP, INC.",6022.0,1231.0,10-Q,20180630,2018,Q2,,
925,0000927089-18-000309,1391933,QUAINT OAK BANCORP INC,6036.0,1231.0,10-Q,20180630,2018,Q2,,
928,0000927628-18-000281,927628,CAPITAL ONE FINANCIAL CORP,6021.0,1231.0,10-Q,20180630,2018,Q2,,
929,0000927653-18-000015,927653,MCKESSON CORP,5122.0,331.0,10-Q,20180630,2018,Q1,,
930,0000928022-18-000095,928022,CALLON PETROLEUM CO,1311.0,1231.0,10-Q,20180630,2018,Q2,,
931,0000928054-18-000077,928054,FLOTEK INDUSTRIES INC/CN/,2890.0,1231.0,10-Q,20180630,2018,Q2,,
938,0000928953-18-000027,928953,PILLARSTONE CAPITAL REIT,6798.0,1231.0,10-Q,20180630,2018,Q2,,
939,0000929008-18-000030,929008,WESCO INTERNATIONAL INC,5063.0,1231.0,10-Q,20180630,2018,Q2,,
940,0000929351-18-000033,929351,LIONS GATE ENTERTAINMENT CORP /CN/,7812.0,331.0,10-Q,20180630,2018,Q1,,
941,0000929545-18-000050,929545,"CONDOR HOSPITALITY TRUST, INC.",6798.0,1231.0,10-Q,20180630,2018,Q2,,
943,0000930236-18-000028,930236,REDWOOD TRUST INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
944,0000930413-18-002303,773840,HONEYWELL INTERNATIONAL INC,3714.0,1231.0,10-Q,20180630,2018,Q2,,
945,0000930413-18-002540,878828,WIRELESS TELECOM GROUP INC,3825.0,1231.0,10-Q,20180630,2018,Q2,,
946,0000930413-18-002593,779544,ARK RESTAURANTS CORP,5812.0,930.0,10-Q,20180630,2018,Q3,,
947,0000930413-18-002811,744187,REX AMERICAN RESOURCES CORP,2860.0,131.0,10-Q,20180731,2018,Q2,,
948,0000930413-18-002883,795212,TRANS WORLD ENTERTAINMENT CORP,5735.0,131.0,10-Q,20180731,2018,Q2,,
949,0000930420-18-000183,930420,KFORCE INC,7363.0,1231.0,10-Q,20180630,2018,Q2,,
950,0000930810-18-000011,930810,RECKSON OPERATING PARTNERSHIP LP,6798.0,1231.0,10-Q,20180630,2018,Q2,,
951,0000931148-18-000019,931148,GRAFTECH INTERNATIONAL LTD,3620.0,1231.0,10-Q,20180630,2018,Q2,,
952,0000931336-18-000019,931336,DEAN FOODS CO,2020.0,1231.0,10-Q,20180630,2018,Q2,,
953,0000932628-18-000016,932628,AMERIGAS PARTNERS LP,5990.0,930.0,10-Q,20180630,2018,Q3,,
954,0000933036-18-000026,933036,RENT A CENTER INC DE,7359.0,1231.0,10-Q,20180630,2018,Q2,,
955,0000934543-18-000021,934543,AMERICAN CHURCH MORTGAGE CO,6500.0,1231.0,10-Q,20180630,2018,Q2,,
956,0000934549-18-000079,934549,ACACIA RESEARCH CORP,6794.0,1231.0,10-Q,20180630,2018,Q2,,
957,0000934612-18-000015,934612,"BURLINGTON NORTHERN SANTA FE, LLC",4011.0,1231.0,10-Q,20180630,2018,Q2,,
958,0000935494-18-000027,935494,NATIONAL INSTRUMENTS CORP,7372.0,1231.0,10-Q,20180630,2018,Q2,,
959,0000935703-18-000045,935703,DOLLAR TREE INC,5331.0,131.0,10-Q,20180731,2018,Q2,,
960,0000936340-18-000187,936340,DTE ENERGY CO,4911.0,1231.0,10-Q,20180630,2018,Q2,,
961,0000936395-18-000037,936395,CIENA CORP,3661.0,1031.0,10-Q,20180731,2018,Q3,,
962,0000936402-18-000057,936402,SHIRE PLC,2834.0,1231.0,10-Q,20180630,2018,Q2,,
963,0000936468-18-000053,936468,LOCKHEED MARTIN CORP,3760.0,1231.0,10-Q,20180630,2018,Q2,,
964,0000936528-18-000055,936528,WASHINGTON FEDERAL INC,6021.0,930.0,10-Q,20180630,2018,Q3,,
965,0000937098-18-000140,937098,TRINET GROUP INC,7389.0,1231.0,10-Q,20180630,2018,Q2,,
966,0000937556-18-000115,937556,MASIMO CORP,3845.0,1231.0,10-Q,20180630,2018,Q2,,
967,0000937834-18-000036,1099219,METLIFE INC,6311.0,1231.0,10-Q,20180630,2018,Q2,,
968,0000937834-18-000039,937834,METROPOLITAN LIFE INSURANCE CO,6311.0,1231.0,10-Q,20180630,2018,Q2,,
969,0000939057-18-000402,1046050,TIMBERLAND BANCORP INC,6036.0,930.0,10-Q,20180630,2018,Q3,,
970,0000939057-18-000404,1401564,"FIRST FINANCIAL NORTHWEST, INC.",6022.0,1231.0,10-Q,20180630,2018,Q2,,
971,0000939057-18-000406,1041368,RIVERVIEW BANCORP INC,6035.0,331.0,10-Q,20180630,2018,Q1,,
972,0000939057-18-000408,818677,SECURITY FEDERAL CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
973,0000939057-18-000410,1734875,"MID-SOUTHERN BANCORP, INC.",6035.0,1231.0,10-Q,20180630,2018,Q2,,
977,0000939767-18-000136,939767,"EXELIXIS, INC.",8731.0,1231.0,10-Q,20180630,2018,Q2,,
978,0000939802-18-000048,814926,"CAPSTONE COMPANIES, INC.",3640.0,1231.0,10-Q,20180630,2018,Q2,,
980,0000939802-18-000056,1495648,"BRISSET BEER INTERNATIONAL, INC.",1311.0,531.0,10-Q,20170831,2018,Q1,,
981,0000939930-18-000065,939930,"ALLIANCE ONE INTERNATIONAL, INC.",5150.0,331.0,10-Q,20180630,2018,Q1,,
984,0000943861-18-000012,943861,GOODRICH PETROLEUM CORP,1311.0,1231.0,10-Q,20180630,2018,Q2,,
985,0000944075-18-000032,944075,"SOCKET MOBILE, INC.",3571.0,1231.0,10-Q,20180630,2018,Q2,,
986,0000944130-18-000060,944130,"MINISTRY PARTNERS INVESTMENT COMPANY, LLC",6199.0,1231.0,10-Q,20180630,2018,Q2,,
987,0000944480-18-000054,944480,GSE SYSTEMS INC,7372.0,1231.0,10-Q,20180630,2018,Q2,,
988,0000944809-18-000035,944809,"OPKO HEALTH, INC.",2834.0,1231.0,10-Q,20180630,2018,Q2,,
989,0000945394-18-000023,945394,HOSPITALITY PROPERTIES TRUST,6798.0,1231.0,10-Q,20180630,2018,Q2,,
990,0000945764-18-000135,945764,DENBURY RESOURCES INC,1311.0,1231.0,10-Q,20180630,2018,Q2,,
991,0000945841-18-000091,945841,POOL CORP,5090.0,1231.0,10-Q,20180630,2018,Q2,,
992,0000946673-18-000023,946673,BANNER CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
993,0000947484-18-000057,947484,ARCH CAPITAL GROUP LTD.,6331.0,1231.0,10-Q,20180630,2018,Q2,,
994,0000949157-18-000085,949157,CENTURY ALUMINUM CO,3334.0,1231.0,10-Q,20180630,2018,Q2,,
995,0000949158-18-000120,949158,CRAY INC,3571.0,1231.0,10-Q,20180630,2018,Q2,,
996,0000949428-18-000010,949428,"CDTI ADVANCED MATERIALS, INC.",3564.0,1231.0,10-Q,20180630,2018,Q2,,
998,0000950123-18-007055,42582,GOODYEAR TIRE & RUBBER CO /OH/,3011.0,1231.0,10-Q,20180630,2018,Q2,,
1001,0000950123-18-007512,1383057,INVESCO DB PRECIOUS METALS FUND,6221.0,1231.0,10-Q,20180630,2018,Q2,,
1002,0000950123-18-007515,1383084,INVESCO DB BASE METALS FUND,6221.0,1231.0,10-Q,20180630,2018,Q2,,
1003,0000950123-18-007517,1383062,INVESCO DB ENERGY FUND,6221.0,1231.0,10-Q,20180630,2018,Q2,,
1004,0000950123-18-007518,1383149,INVESCO DB US DOLLAR INDEX BEARISH FUND,6221.0,1231.0,10-Q,20180630,2018,Q2,,
1005,0000950123-18-007522,1383054,INVESCO DB SILVER FUND,6221.0,1231.0,10-Q,20180630,2018,Q2,,
1006,0000950123-18-007523,1383151,INVESCO DB US DOLLAR INDEX BULLISH FUND,6221.0,1231.0,10-Q,20180630,2018,Q2,,
1007,0000950123-18-007632,1090425,LAMAR ADVERTISING CO/NEW,6798.0,1231.0,10-Q,20180630,2018,Q2,,
1008,0000950123-18-007634,1070750,"HOST HOTELS & RESORTS, INC.",6798.0,1231.0,10-Q,20180630,2018,Q2,,
1012,0000950123-18-009341,56679,KORN FERRY INTERNATIONAL,7361.0,430.0,10-Q,20180731,2019,Q1,,
1013,0000950159-18-000336,834285,REPUBLIC FIRST BANCORP INC,6022.0,1231.0,10-Q,20180630,2018,Q2,,
1014,0000950159-18-000363,1133062,JANEL CORP,7389.0,930.0,10-Q,20180630,2018,Q3,,
1015,0000950159-18-000368,945989,ASTEA INTERNATIONAL INC,7372.0,1231.0,10-Q,20180630,2018,Q2,,
1016,0001000228-18-000039,1000228,HENRY SCHEIN INC,5047.0,1231.0,10-Q,20180630,2018,Q2,,
1017,0001000229-18-000098,1000229,CORE LABORATORIES N V,1389.0,1231.0,10-Q,20180630,2018,Q2,,
1018,0001000623-18-000079,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,2621.0,1231.0,10-Q,20180630,2018,Q2,,
1019,0001000753-18-000053,1000753,"INSPERITY, INC.",7363.0,1231.0,10-Q,20180630,2018,Q2,,
1020,0001001039-18-000134,1001039,WALT DISNEY CO/,4841.0,930.0,10-Q,20180630,2018,Q3,,
1022,0001002135-18-000032,1002135,WESTELL TECHNOLOGIES INC,3661.0,331.0,10-Q,20180630,2018,Q1,,
1023,0001002517-18-000048,1002517,"NUANCE COMMUNICATIONS, INC.",7372.0,930.0,10-Q,20180630,2018,Q3,,
1025,0001002910-18-000135,1002910,AMEREN CORP,4931.0,1231.0,10-Q,20180630,2018,Q2,,
1026,0001003078-18-000170,1003078,MSC INDUSTRIAL DIRECT CO INC,5084.0,831.0,10-Q,20180531,2018,Q3,,
1028,0001003297-18-000138,88572,SECURITY LAND & DEVELOPMENT CORP,6532.0,930.0,10-Q,20180630,2018,Q3,,
1029,0001003297-18-000142,38264,"FORWARD INDUSTRIES, INC.",3089.0,930.0,10-Q,20180630,2018,Q3,,
1030,0001003297-18-000153,1289237,"U. S. PREMIUM BEEF, LLC",200.0,1231.0,10-Q,20180630,2018,Q2,,
1031,0001003297-18-000159,36369,FIRST HARTFORD CORP,6500.0,430.0,10-Q,20180731,2019,Q1,,
1032,0001003815-18-000008,1003815,BCTC IV ASSIGNOR CORP,6513.0,1231.0,10-Q,20180630,2018,Q2,,
1033,0001004434-18-000016,1004434,"AFFILIATED MANAGERS GROUP, INC.",6282.0,1231.0,10-Q,20180630,2018,Q2,,
1034,0001004702-18-000130,1004702,OCEANFIRST FINANCIAL CORP,6035.0,1231.0,10-Q,20180630,2018,Q2,,
1035,0001004980-18-000012,1004980,PG&E CORP,4931.0,1231.0,10-Q,20180630,2018,Q2,,
1036,0001005011-18-000008,1005011,"GRAPHIC PACKAGING INTERNATIONAL, LLC",2631.0,1231.0,10-Q,20180630,2018,Q2,,
1037,0001005229-18-000327,1005229,COLUMBUS MCKINNON CORP,3531.0,331.0,10-Q,20180630,2018,Q1,,
1038,0001005276-18-000014,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,7011.0,930.0,10-Q,20180630,2018,Q3,,
1039,0001005817-18-000009,1005817,TOMPKINS FINANCIAL CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
1041,0001006837-18-000095,1006837,"HC2 HOLDINGS, INC.",3440.0,1231.0,10-Q,20180630,2018,Q2,,
1042,0001007330-18-000011,1007330,"PRGX GLOBAL, INC.",8700.0,1231.0,10-Q,20180630,2018,Q2,,
1043,0001007587-18-000024,1007587,KVH INDUSTRIES INC DE,3663.0,630.0,10-Q,20180630,2018,Q2,,
1044,0001008579-18-000018,1008579,HIGHLANDS BANKSHARES INC /VA/,6022.0,1231.0,10-Q,20180630,2018,Q2,,
1045,0001008654-18-000023,1008654,TUPPERWARE BRANDS CORP,3089.0,1231.0,10-Q,20180630,2018,Q2,,
1046,0001008886-18-000090,928658,COVENANT TRANSPORTATION GROUP INC,4213.0,1231.0,10-Q,20180630,2018,Q2,,
1047,0001008886-18-000092,923571,US XPRESS ENTERPRISES INC,4213.0,1231.0,10-Q,20180630,2018,Q2,,
1048,0001010086-18-000009,1010086,SIGA TECHNOLOGIES INC,2834.0,1231.0,10-Q,20180630,2018,Q2,,
1049,0001010412-18-000032,1475430,JOSHUA GOLD RESOURCES INC,1040.0,1231.0,10-Q,20180630,2018,Q2,,
1050,0001010412-18-000034,1365388,"GULF & ORIENT STEAMSHIP COMPANY, LTD.",6770.0,1231.0,10-Q,20180630,2018,Q2,,
1051,0001010549-18-000245,1295560,INTREORG SYSTEMS INC.,7373.0,1231.0,10-Q,20150930,2015,Q3,,
1052,0001010549-18-000248,65759,MICROPAC INDUSTRIES INC,3674.0,1130.0,10-Q,20180531,2018,Q2,,
1053,0001010549-18-000286,1437517,ADVANCED CREDIT TECHNOLOGIES INC,7372.0,1231.0,10-Q,20180630,2018,Q2,,
1054,0001010549-18-000289,105744,"NEW CONCEPT ENERGY, INC.",1311.0,1231.0,10-Q,20180630,2018,Q2,,
1055,0001010549-18-000293,726516,FIRST EQUITY PROPERTIES INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
1056,0001010549-18-000306,1567900,BLACKBOXSTOCKS INC.,5122.0,1231.0,10-Q,20180630,2018,Q2,,
1057,0001010549-18-000308,1338929,ECO TEK 360 INC,5130.0,1231.0,10-Q,20180630,2018,Q2,,
1058,0001010549-18-000310,1572386,GREENWAY TECHNOLOGIES INC,2090.0,1231.0,10-Q,20180630,2018,Q2,,
1059,0001010549-18-000313,1713909,"WATER NOW, INC.",3580.0,1231.0,10-Q,20180630,2018,Q2,,
1061,0001011452-18-000011,1011452,"MEDICAL INFORMATION TECHNOLOGY, INC.",7372.0,1231.0,10-Q,20180630,2018,Q2,,
1062,0001011570-18-000047,1011570,KNOLL INC,2590.0,1231.0,10-Q,20180630,2018,Q2,,
1063,0001012477-18-000022,1012477,AVADEL PHARMACEUTICALS PLC,2834.0,1231.0,10-Q,20180630,2018,Q2,,
1064,0001012620-18-000020,1012620,GENESEE & WYOMING INC,4011.0,1231.0,10-Q,20180630,2018,Q2,,
1065,0001012771-18-000025,1012771,FBL FINANCIAL GROUP INC,6311.0,1231.0,10-Q,20180630,2018,Q2,,
1066,0001013462-18-000010,1013462,ANSYS INC,7372.0,1231.0,10-Q,20180630,2018,Q2,,
1067,0001013606-18-000121,1013606,ENDOLOGIX INC /DE/,3841.0,1231.0,10-Q,20180630,2018,Q2,,
1068,0001013871-18-000032,1013871,"NRG ENERGY, INC.",4911.0,1231.0,10-Q,20180630,2018,Q2,,
1069,0001014111-18-000007,1014111,"GLASSBRIDGE ENTERPRISES, INC.",6282.0,1231.0,10-Q,20180630,2018,Q2,,
1070,0001014473-18-000036,1014473,VERISIGN INC/CA,7371.0,1231.0,10-Q,20180630,2018,Q2,,
1071,0001014763-18-000015,1014763,AMARILLO BIOSCIENCES INC,2834.0,1231.0,10-Q,20180630,2018,Q2,,
1072,0001014897-18-000077,1089598,BAYNON INTERNATIONAL CORP,6770.0,1231.0,10-Q,20180630,2018,Q2,,
1073,0001014897-18-000087,1425289,BRIGHTLANE CORP.,6500.0,1231.0,10-Q,20180630,2018,Q2,,
1074,0001014897-18-000089,1138724,"GLOBAL ARENA HOLDING, INC.",6211.0,1231.0,10-Q,20180630,2018,Q2,,
1076,0001014897-18-000094,1425203,ASTRO AEROSPACE LTD.,1700.0,1231.0,10-Q,20180630,2018,Q2,,
1077,0001015328-18-000161,1015328,WINTRUST FINANCIAL CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
1078,0001015780-18-000076,1015780,E TRADE FINANCIAL CORP,6035.0,1231.0,10-Q,20180630,2018,Q2,,
1079,0001016125-18-000113,1016125,ULTIMATE SOFTWARE GROUP INC,7372.0,630.0,10-Q,20180630,2018,Q2,,
1080,0001016178-18-000012,1016178,CARVER BANCORP INC,6035.0,331.0,10-Q,20180630,2018,Q1,,
1081,0001016281-18-000084,1016281,CARRIAGE SERVICES INC,7200.0,1231.0,10-Q,20180630,2018,Q2,,
1083,0001017303-18-000057,1017303,TRANSACT TECHNOLOGIES INC,3577.0,1231.0,10-Q,20180630,2018,Q2,,
1084,0001017386-18-000153,1413488,MICROCHANNEL TECHNOLOGIES CORP,2836.0,831.0,10-Q,20180531,2018,Q3,,
1085,0001017386-18-000203,1080319,"NEWGIOCO GROUP, INC.",7372.0,1231.0,10-Q,20180630,2018,Q2,,
1088,0001017480-18-000035,1017480,HIBBETT SPORTS INC,5940.0,131.0,10-Q,20180731,2018,Q2,,
1089,0001017491-18-000075,1017491,"APRICUS BIOSCIENCES, INC.",2834.0,1231.0,10-Q,20180630,2018,Q2,,
1090,0001018399-18-000042,1018399,ENTERPRISE BANCORP INC /MA/,6022.0,1231.0,10-Q,20180630,2018,Q2,,
1091,0001018724-18-000108,1018724,AMAZON COM INC,5961.0,1231.0,10-Q,20180630,2018,Q2,,
1092,0001018840-18-000045,1018840,ABERCROMBIE & FITCH CO /DE/,5651.0,131.0,10-Q,20180731,2018,Q2,,
1093,0001018963-18-000023,1018963,ALLEGHENY TECHNOLOGIES INC,3317.0,1231.0,10-Q,20180630,2018,Q2,,
1094,0001019056-18-000938,1108236,AMERICAN RIVER BANKSHARES,6022.0,1231.0,10-Q,20180630,2018,Q2,,
1095,0001019056-18-000946,1074871,"MODULAR MEDICAL, INC.",3841.0,331.0,10-Q,20180630,2018,Q1,,
1096,0001019056-18-000954,65596,SIEBERT FINANCIAL CORP,6211.0,1231.0,10-Q,20180630,2018,Q2,,
1097,0001019056-18-000980,1468679,AMERICAN CRYOSTEM CORP,8090.0,930.0,10-Q,20180630,2018,Q3,,
1098,0001020569-18-000082,1020569,IRON MOUNTAIN INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
1099,0001020710-18-000018,1020710,DXP ENTERPRISES INC,5084.0,1231.0,10-Q,20180630,2018,Q2,,
